
Plan name:,FIDELITY RET SAVINGS
Date Range,04/01/2018 - 06/30/2018,,,,


Date,Investment,Transaction Type,Amount,Shares/Unit
06/29/2018,FIMM MMKT INST,Dividends and Interest,"339.13","339.130"
06/20/2018,FID JAPAN SMALL CO,CONTRIBUTION,"313.08","16.688"
06/20/2018,FID CHINA REGION,CONTRIBUTION,"469.62","12.764"
06/06/2018,FID JAPAN SMALL CO,CONTRIBUTION,"313.08","16.324"
06/06/2018,FID CHINA REGION,CONTRIBUTION,"469.62","12.170"
05/31/2018,FIMM MMKT INST,Dividends and Interest,"334.34","334.340"
05/23/2018,FID JAPAN SMALL CO,CONTRIBUTION,"313.08","16.248"
05/23/2018,FID CHINA REGION,CONTRIBUTION,"469.62","12.540"
05/11/2018,FID FREEDOM 2030 K6,Dividends and Interest,"755.58","42.282"
05/09/2018,FID JAPAN SMALL CO,CONTRIBUTION,"313.08","16.340"
05/09/2018,FID CHINA REGION,CONTRIBUTION,"469.62","12.666"
04/30/2018,FIMM MMKT INST,Dividends and Interest,"314.85","314.850"
04/25/2018,FID JAPAN SMALL CO,CONTRIBUTION,"313.08","16.444"
04/25/2018,FID CHINA REGION,CONTRIBUTION,"469.62","13.122"
04/11/2018,FID SEL TECHNOLOGY,Dividends and Interest,"4,948.05","28.818"
04/11/2018,FID JAPAN SMALL CO,CONTRIBUTION,"313.08","16.314"
04/11/2018,FID CHINA REGION,CONTRIBUTION,"469.62","12.604"
04/06/2018,FID SEL HTH CARE SVC,Dividends and Interest,"4,024.09","47.204"
04/06/2018,FID SEL HEALTHCARE,Dividends and Interest,"1,083.37","4.855"
04/06/2018,FID SEL FINANCIAL,Dividends and Interest,"1,356.92","12.436"
04/06/2018,FID SEL CONSTR/HOUSE,Dividends and Interest,"1,728.81","29.988"
04/06/2018,FID SEL BIOTECH,Dividends and Interest,"3,764.13","18.435"
