
Plan name:,FIDELITY RET SAVINGS
Date Range,01/01/2020 - 03/31/2020,,,,


Date,Investment,Transaction Type,Amount,Shares/Unit
03/31/2020,FIMM MMKT INST,Dividends and Interest,"314.63","314.630"
03/25/2020,FID SEL BANKING,CONTRIBUTION,"503.17","31.968"
03/25/2020,FA CHINA REGION Z,CONTRIBUTION,"335.44","9.573"
03/23/2020,FIMM MMKT INST,Exchanges,"68,114.55","68,114.550"
03/23/2020,FIMM MMKT INST,Exchanges,"-20,000.00","-20,000.000"
03/23/2020,FID SEL HTH CARE SVC,Exchanges,"-68,114.55","-935.511"
03/23/2020,FID SEL HTH CARE SVC,Change in Market Value,"12,563.45","0.000"
03/23/2020,FID SEL BIOTECH,Exchanges,"20,000.00","1,194.029"
03/11/2020,FID SEL MED TECH&amp;DV,CONTRIBUTION,"251.59","4.717"
03/11/2020,FID SEL BANKING,CONTRIBUTION,"587.02","31.783"
03/05/2020,FIMM MMKT INST,Exchanges,"-15,000.00","-15,000.000"
03/05/2020,FID SEL BANKING,Exchanges,"15,000.00","662.251"
02/28/2020,FIMM MMKT INST,Dividends and Interest,"462.84","462.840"
02/26/2020,FID SEL MED TECH&amp;DV,CONTRIBUTION,"251.59","4.341"
02/26/2020,FID SEL BANKING,CONTRIBUTION,"587.02","23.518"
02/25/2020,FIMM MMKT INST,Exchanges,"-50,000.00","-50,000.000"
02/25/2020,FID SEL MED TECH&amp;DV,Exchanges,"25,000.00","426.985"
02/25/2020,FID SEL CONSTR/HOUSE,Exchanges,"25,000.00","392.465"
02/12/2020,FID SEL MED TECH&amp;DV,CONTRIBUTION,"251.59","4.039"
02/12/2020,FID SEL BANKING,CONTRIBUTION,"587.02","21.323"
01/31/2020,FIMM MMKT INST,Dividends and Interest,"426.22","426.220"
01/29/2020,FID SEL MED TECH&amp;DV,CONTRIBUTION,"251.59","4.055"
01/29/2020,FID SEL BANKING,CONTRIBUTION,"587.02","21.911"
01/28/2020,FIMM MMKT INST,Exchanges,"60,000.00","60,000.000"
01/28/2020,FA CHINA REGION Z,Exchanges,"-60,000.00","-1,547.588"
01/28/2020,FA CHINA REGION Z,Change in Market Value,"8,618.73","0.000"
01/15/2020,FIMM MMKT INST,CONTRIBUTION,"18,223.08","18,223.080"
01/15/2020,FID SEL MED TECH&amp;DV,CONTRIBUTION,"251.59","4.121"
01/15/2020,FID SEL BANKING,CONTRIBUTION,"587.02","21.292"
