


Run Date,Action,Symbol,Security Description,Security Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Settlement Date
 03/31/2015, INTEREST EARNED, QPISQ, FDIC INSURED DEPOSIT AT WELLS FARGO HSA,Cash,,,,,,0.02,
 03/31/2015, INTEREST EARNED, QPILQ, FDIC INSURED DEPOSIT AT FIFTH THIRD HSA,Cash,,,,,,0.03,
 03/31/2015, INTEREST EARNED, QPIHQ, FDIC INSURED DEPOSIT AT SUNTRUST BK HSA,Cash,,,,,,0.02,
 03/27/2015, NORMAL DISTR PARTIAL CARY GASTROENTEROLOGY   CARY          NC, , No Description,Cash,,,,,,-126.1,
 03/17/2015, PARTIC CONTR CURRENT PARTICIPANT CUR YR, , No Description,Cash,,,,,,161.54,
 03/06/2015, DIVIDEND RECEIVED, AGNC, AMERICAN CAP AGY CORP COM,Cash,,,,,,33,
 03/03/2015, PARTIC CONTR CURRENT PARTICIPANT CUR YR, , No Description,Cash,,,,,,161.54,
 02/27/2015, INTEREST EARNED, QPISQ, FDIC INSURED DEPOSIT AT WELLS FARGO HSA,Cash,,,,,,0.02,
 02/27/2015, INTEREST EARNED, QPILQ, FDIC INSURED DEPOSIT AT FIFTH THIRD HSA,Cash,,,,,,0.06,
 02/27/2015, INTEREST EARNED, QPIHQ, FDIC INSURED DEPOSIT AT SUNTRUST BK HSA,Cash,,,,,,0.01,
 02/25/2015, NORMAL DISTR PARTIAL INTERMEDIX              888-7359559   FL, , No Description,Cash,,,,,,-27.47,
 02/23/2015, NORMAL DISTR PARTIAL UNC HEALTH CARE SYSTEM  800-5948624   NC, , No Description,Cash,,,,,,-268,
 02/18/2015, PARTIC CONTR CURRENT PARTICIPANT CUR YR, , No Description,Cash,,,,,,161.54,
 02/13/2015, YOU BOUGHT, NLY, ANNALY CAPITAL MANAGEMENT INC COM,Cash,500,10.68, 7.95,,,-5347.95, 02/19/2015
 02/06/2015, DIVIDEND RECEIVED, AGNC, AMERICAN CAP AGY CORP COM,Cash,,,,,,33, 
 02/03/2015, PARTIC CONTR CURRENT PARTICIPANT CUR YR, , No Description,Cash,,,,,,161.54, 
 01/30/2015, INTEREST EARNED, QPISQ, FDIC INSURED DEPOSIT AT WELLS FARGO HSA,Cash,,,,,,0.02, 
 01/30/2015, INTEREST EARNED, QPILQ, FDIC INSURED DEPOSIT AT FIFTH THIRD HSA,Cash,,,,,,0.07, 
 01/30/2015, INTEREST EARNED, QPIJQ, FDIC INSURED DEPOSIT AT UNION BANK HSA ,Cash,,,,,,0.01, 
 01/30/2015, INTEREST EARNED, QPIHQ, FDIC INSURED DEPOSIT AT SUNTRUST BK HSA,Cash,,,,,,0.01, 
 01/21/2015, PARTIC CONTR CURRENT PARTICIPANT CUR YR, , No Description,Cash,,,,,,161.54, 
 01/09/2015, DIVIDEND RECEIVED, AGNC, AMERICAN CAP AGY CORP COM,Cash,,,,,,33, 
 01/06/2015, PARTIC CONTR CURRENT PARTICIPANT CUR YR, , No Description,Cash,,,,,,161.54, 
 01/06/2015, CO CONTR CURRENT YR  EMPLOYER CUR YR, , No Description,Cash,,,,,,1000, 




"The data and information in this spreadsheet is provided to you solely for your use and is not for distribution. The spreadsheet is provided for"
"informational purposes only, and is not intended to provide advice, nor should it be construed as an offer to sell, a solicitation of an offer to buy or a"
"recommendation for any security by Fidelity or any third party. Data and information shown is based on information known to Fidelity as of the date it was"
"exported and is subject to change. It should not be used in place of your account statements or trade confirmations and is not intended for tax reporting"
"purposes. For more information on the data included in this spreadsheet, including any limitations thereof, go to Fidelity.com."

"Brokerage services are provided by Fidelity Brokerage Services LLC, 900 Salem Street, Smithfield, RI 02917. Custody and other services provided by National"
"Financial Services LLC. Both are Fidelity Investment companies and members SIPC, NYSE."

"Date downloaded" 01/02/2016, 9:19 AM
