Date,Adj Close
2005-04-01,4.334919999999999
2005-04-04,4.351801
2005-04-05,4.416911
2005-04-06,4.430692
2005-04-07,4.476166
2005-04-08,4.440672
2005-04-11,4.431023000000001
2005-04-12,4.458937000000001
2005-04-13,4.453422
2005-04-14,4.441016
2005-04-15,4.497877
2005-04-18,4.463071
2005-04-19,4.475478
2005-04-20,4.43309
2005-04-21,4.496155
2005-04-22,4.484439
2005-04-25,4.490984
2005-04-26,4.489606
2005-04-27,4.509594
2005-04-28,4.469964
2005-04-29,4.5309610000000005
2005-05-02,4.53475
2005-05-03,4.557840000000001
2005-05-04,4.594369
2005-05-05,4.595057
2005-05-06,4.588509999999999
2005-05-09,4.6064300000000005
2005-05-10,4.597815
2005-05-11,4.6195260000000005
2005-05-12,4.599883
2005-05-13,4.567488
2005-05-16,4.611256
2005-05-17,4.622283
2005-05-18,4.628487000000001
2005-05-19,4.634689
2005-05-20,4.6253839999999995
2005-05-23,4.649507
2005-05-24,4.66467
2005-05-25,4.638481
2005-05-26,4.661569
2005-05-27,4.666393
2005-05-31,4.642615
2005-06-01,4.66846
2005-06-02,4.685691
2005-06-03,4.660189
2005-06-06,4.663981
2005-06-07,4.66846
2005-06-08,4.635033
2005-06-09,4.672251999999999
2005-06-10,4.6450260000000005
2005-06-13,4.663291
2005-06-14,4.682245
2005-06-15,4.671562000000001
2005-06-16,4.701198000000001
2005-06-17,4.732213
2005-06-20,4.735659
2005-06-21,4.7267
2005-06-22,4.7156720000000005
2005-06-23,4.682589
2005-06-24,4.679143
2005-06-27,4.667426
2005-06-28,4.73497
2005-06-29,4.736693
2005-06-30,4.707402
2005-07-01,4.7156720000000005
2005-07-05,4.753234
2005-07-06,4.73945
2005-07-07,4.761161
2005-07-08,4.810787
2005-07-11,4.821467
2005-07-12,4.822157
2005-07-13,4.797
2005-07-14,4.813198000000001
2005-07-15,4.833874
2005-07-18,4.816643
2005-07-19,4.814577
2005-07-20,4.885565
2005-07-21,4.852483
2005-07-22,4.8449029999999995
2005-07-25,4.813542
2005-07-26,4.858687000000001
2005-07-27,4.890047
2005-07-28,4.947596
2005-07-29,4.921751
2005-08-01,4.961380999999999
2005-08-02,4.985504
2005-08-03,5.000665000000001
2005-08-04,4.963103
2005-08-05,4.918303
2005-08-08,4.88729
2005-08-09,4.934501
2005-08-10,4.934846
2005-08-11,4.984126
2005-08-12,4.960001999999999
2005-08-15,4.97034
2005-08-16,4.9314
2005-08-17,4.937603
2005-08-18,4.936568
2005-08-19,4.934156
2005-08-22,4.93967
2005-08-23,4.923129
2005-08-24,4.903141000000001
2005-08-25,4.915201000000001
2005-08-26,4.890736
2005-08-29,4.930708999999999
2005-08-30,4.917269
2005-08-31,4.985847
2005-09-01,5.002733
2005-09-02,4.993086
2005-09-06,5.06304
2005-09-07,5.075792
2005-09-08,5.064419
2005-09-09,5.100949
2005-09-12,5.077171
2005-09-13,5.025135
2005-09-14,5.006525
2005-09-15,5.015484
2005-09-16,5.040642
2005-09-19,5.003768
2005-09-20,4.983092
2005-09-21,4.953798
2005-09-22,4.961725
2005-09-23,4.980335
2005-09-26,4.967239
2005-09-27,4.951042
2005-09-28,4.961725
2005-09-29,4.976543
2005-09-30,4.999633
2005-10-03,5.020654
