
Plan name:,FMR PROFIT SHARING  
Date Range,01/01/2007 - 12/31/2007,,,,


Date,Investment,Transaction Type,Amount,Shares/Unit
12/19/2007,FID VALUE,CONTRIBUTION,"544.00","7.336"
12/19/2007,FID SEL WIRELESS,CONTRIBUTION,"544.00","65.700"
12/19/2007,FID SEL MEDICAL DEL,CONTRIBUTION,"544.00","10.542"
12/19/2007,FID SEL CONS STAPLES,CONTRIBUTION,"544.00","8.242"
12/19/2007,FID DIVERSIFD INTL,CONTRIBUTION,"544.00","14.090"
12/14/2007,FID SEL MEDICAL DEL,Dividends and Interest,"606.11","11.728"
12/14/2007,FID SEL CONS STAPLES,Dividends and Interest,"409.16","6.151"
12/12/2007,FID VALUE,CONTRIBUTION,"172.66","2.258"
12/12/2007,FID SEL WIRELESS,CONTRIBUTION,"172.66","19.778"
12/12/2007,FID SEL MEDICAL DEL,CONTRIBUTION,"172.68","3.124"
12/12/2007,FID SEL CONS STAPLES,CONTRIBUTION,"172.66","2.480"
12/12/2007,FID DIVERSIFD INTL,CONTRIBUTION,"172.68","4.232"
12/07/2007,FID VALUE,Dividends and Interest,"983.66","12.635"
12/07/2007,FID SEL WIRELESS,Dividends and Interest,"411.24","46.311"
12/07/2007,FID DIVERSIFD INTL,Dividends and Interest,"884.19","21.672"
11/07/2007,FID VALUE,CONTRIBUTION,"172.66","2.030"
11/07/2007,FID SEL WIRELESS,CONTRIBUTION,"172.66","17.910"
11/07/2007,FID SEL MEDICAL DEL,CONTRIBUTION,"172.68","3.280"
11/07/2007,FID SEL CONS STAPLES,CONTRIBUTION,"172.66","2.572"
11/07/2007,FID DIVERSIFD INTL,CONTRIBUTION,"172.68","3.906"
10/10/2007,FID VALUE,CONTRIBUTION,"172.66","1.898"
10/10/2007,FID SEL WIRELESS,CONTRIBUTION,"172.66","17.336"
10/10/2007,FID SEL MEDICAL DEL,CONTRIBUTION,"172.68","3.246"
10/10/2007,FID SEL CONS STAPLES,CONTRIBUTION,"172.66","2.588"
10/10/2007,FID DIVERSIFD INTL,CONTRIBUTION,"172.68","3.916"
09/12/2007,FID VALUE,CONTRIBUTION,"172.66","2.020"
09/12/2007,FID SEL WIRELESS,CONTRIBUTION,"172.66","19.466"
09/12/2007,FID SEL MEDICAL DEL,CONTRIBUTION,"172.68","3.418"
09/12/2007,FID SEL CONS STAPLES,CONTRIBUTION,"172.66","2.714"
09/12/2007,FID DIVERSIFD INTL,CONTRIBUTION,"172.68","4.288"
08/08/2007,FID VALUE,CONTRIBUTION,"172.66","1.984"
08/08/2007,FID SEL WIRELESS,CONTRIBUTION,"172.66","19.666"
08/08/2007,FID SEL MEDICAL DEL,CONTRIBUTION,"172.68","3.404"
08/08/2007,FID SEL CONS STAPLES,CONTRIBUTION,"172.66","2.726"
08/08/2007,FID DIVERSIFD INTL,CONTRIBUTION,"172.68","4.198"
07/11/2007,FID VALUE,CONTRIBUTION,"172.66","1.906"
07/11/2007,FID SEL WIRELESS,CONTRIBUTION,"172.66","19.554"
07/11/2007,FID SEL MEDICAL DEL,CONTRIBUTION,"172.68","3.296"
07/11/2007,FID SEL CONS STAPLES,CONTRIBUTION,"172.66","2.778"
07/11/2007,FID DIVERSIFD INTL,CONTRIBUTION,"172.68","4.116"
06/06/2007,FID VALUE,CONTRIBUTION,"163.54","1.808"
06/06/2007,FID SEL WIRELESS,CONTRIBUTION,"163.54","19.896"
06/06/2007,FID SEL MEDICAL DEL,CONTRIBUTION,"163.54","3.052"
06/06/2007,FID SEL CONS STAPLES,CONTRIBUTION,"163.54","2.646"
06/06/2007,FID DIVERSIFD INTL,CONTRIBUTION,"163.54","4.010"
05/09/2007,FID VALUE,CONTRIBUTION,"163.54","1.812"
05/09/2007,FID SEL WIRELESS,CONTRIBUTION,"163.54","20.886"
05/09/2007,FID SEL MEDICAL DEL,CONTRIBUTION,"163.54","3.112"
05/09/2007,FID SEL CONS STAPLES,CONTRIBUTION,"163.54","2.656"
05/09/2007,FID DIVERSIFD INTL,CONTRIBUTION,"163.54","4.032"
04/13/2007,FID SEL MEDICAL DEL,Dividends and Interest,"226.94","4.378"
04/13/2007,FID SEL CONS STAPLES,Dividends and Interest,"121.14","2.010"
04/11/2007,FID VALUE,CONTRIBUTION,"163.54","1.908"
04/11/2007,FID SEL WIRELESS,CONTRIBUTION,"163.54","22.312"
04/11/2007,FID SEL MEDICAL DEL,CONTRIBUTION,"163.54","3.104"
04/11/2007,FID SEL CONS STAPLES,CONTRIBUTION,"163.54","2.696"
04/11/2007,FID DIVERSIFD INTL,CONTRIBUTION,"163.54","4.194"
03/07/2007,FID VALUE,CONTRIBUTION,"163.54","1.976"
03/07/2007,FID SEL WIRELESS,CONTRIBUTION,"163.54","23.464"
03/07/2007,FID SEL MEDICAL DEL,CONTRIBUTION,"163.54","3.228"
03/07/2007,FID SEL CONS STAPLES,CONTRIBUTION,"163.54","2.836"
03/07/2007,FID DIVERSIFD INTL,CONTRIBUTION,"163.54","4.470"
02/07/2007,FID VALUE,CONTRIBUTION,"163.54","1.932"
02/07/2007,FID SEL WIRELESS,CONTRIBUTION,"163.54","22.496"
02/07/2007,FID SEL MEDICAL DEL,CONTRIBUTION,"163.54","3.234"
