
Plan name:,FMR PROFIT SHARING  
Date Range,01/01/2009 - 12/31/2009,,,,


Date,Investment,Transaction Type,Amount,Shares/Unit
12/30/2009,FID VALUE K,Dividends and Interest,"1.89","0.033"
12/23/2009,FID VALUE K,CONTRIBUTION,"628.60","10.900"
12/23/2009,FID SEL WIRELESS,CONTRIBUTION,"628.60","93.682"
12/23/2009,FID SEL MEDICAL DEL,CONTRIBUTION,"628.60","14.296"
12/23/2009,FID SEL CONS STAPLES,CONTRIBUTION,"628.60","10.304"
12/23/2009,FID DIVERSIFD INTL K,CONTRIBUTION,"628.60","22.596"
12/11/2009,FID SEL CONS STAPLES,Dividends and Interest,"326.28","5.331"
12/09/2009,FID VALUE K,CONTRIBUTION,"270.90","4.932"
12/09/2009,FID SEL WIRELESS,CONTRIBUTION,"270.90","41.296"
12/09/2009,FID SEL MEDICAL DEL,CONTRIBUTION,"270.90","6.584"
12/09/2009,FID SEL CONS STAPLES,CONTRIBUTION,"270.90","4.414"
12/09/2009,FID DIVERSIFD INTL K,CONTRIBUTION,"270.90","9.848"
12/04/2009,FID VALUE K,Dividends and Interest,"213.14","3.838"
12/04/2009,FID SEL WIRELESS,Dividends and Interest,"203.75","31.202"
12/04/2009,FID DIVERSIFD INTL K,Dividends and Interest,"297.34","10.551"
11/10/2009,FID VALUE K,CONTRIBUTION,"193.50","3.492"
11/10/2009,FID SEL WIRELESS,CONTRIBUTION,"193.50","29.954"
11/10/2009,FID SEL MEDICAL DEL,CONTRIBUTION,"193.50","4.744"
11/10/2009,FID SEL CONS STAPLES,CONTRIBUTION,"193.50","3.146"
11/10/2009,FID DIVERSIFD INTL K,CONTRIBUTION,"193.50","6.838"
10/07/2009,FID VALUE K,CONTRIBUTION,"193.50","3.522"
10/07/2009,FID SEL WIRELESS,CONTRIBUTION,"193.50","29.954"
10/07/2009,FID SEL MEDICAL DEL,CONTRIBUTION,"193.50","5.098"
10/07/2009,FID SEL CONS STAPLES,CONTRIBUTION,"193.50","3.234"
10/07/2009,FID DIVERSIFD INTL K,CONTRIBUTION,"193.50","7.044"
09/09/2009,FID VALUE K,CONTRIBUTION,"193.50","3.602"
09/09/2009,FID SEL WIRELESS,CONTRIBUTION,"193.50","30.568"
09/09/2009,FID SEL MEDICAL DEL,CONTRIBUTION,"193.50","5.064"
09/09/2009,FID SEL CONS STAPLES,CONTRIBUTION,"193.50","3.340"
09/09/2009,FID DIVERSIFD INTL K,CONTRIBUTION,"193.50","7.196"
08/12/2009,FID VALUE K,CONTRIBUTION,"193.50","3.750"
08/12/2009,FID SEL WIRELESS,CONTRIBUTION,"193.50","31.774"
08/12/2009,FID SEL MEDICAL DEL,CONTRIBUTION,"193.50","5.330"
08/12/2009,FID SEL CONS STAPLES,CONTRIBUTION,"193.50","3.466"
08/12/2009,FID DIVERSIFD INTL K,CONTRIBUTION,"193.50","7.576"
07/08/2009,FID VALUE K,CONTRIBUTION,"193.50","4.766"
07/08/2009,FID SEL WIRELESS,CONTRIBUTION,"193.50","33.478"
07/08/2009,FID SEL MEDICAL DEL,CONTRIBUTION,"193.50","5.916"
07/08/2009,FID SEL CONS STAPLES,CONTRIBUTION,"193.50","3.686"
07/08/2009,FID DIVERSIFD INTL K,CONTRIBUTION,"193.50","8.670"
06/10/2009,FID VALUE K,CONTRIBUTION,"193.50","4.234"
06/10/2009,FID SEL WIRELESS,CONTRIBUTION,"193.50","31.566"
06/10/2009,FID SEL MEDICAL DEL,CONTRIBUTION,"193.50","6.088"
06/10/2009,FID SEL CONS STAPLES,CONTRIBUTION,"193.50","3.690"
06/10/2009,FID DIVERSIFD INTL K,CONTRIBUTION,"193.50","8.082"
05/06/2009,FID VALUE K,CONTRIBUTION,"193.50","4.292"
05/06/2009,FID SEL WIRELESS,CONTRIBUTION,"193.50","32.090"
05/06/2009,FID SEL MEDICAL DEL,CONTRIBUTION,"193.50","6.248"
05/06/2009,FID SEL CONS STAPLES,CONTRIBUTION,"193.50","3.936"
05/06/2009,FID DIVERSIFD INTL K,CONTRIBUTION,"193.50","8.658"
04/17/2009,FID SEL CONS STAPLES,Dividends and Interest,"13.48","0.282"
04/08/2009,FID VALUE K,CONTRIBUTION,"193.50","5.352"
04/08/2009,FID SEL WIRELESS,CONTRIBUTION,"193.50","36.998"
04/08/2009,FID SEL MEDICAL DEL,CONTRIBUTION,"193.50","7.146"
04/08/2009,FID SEL CONS STAPLES,CONTRIBUTION,"193.50","4.122"
04/08/2009,FID DIVERSIFD INTL K,CONTRIBUTION,"193.50","9.802"
03/11/2009,FID VALUE K,CONTRIBUTION,"193.50","6.400"
03/11/2009,FID SEL WIRELESS,CONTRIBUTION,"193.50","41.702"
03/11/2009,FID SEL MEDICAL DEL,CONTRIBUTION,"193.50","8.214"
03/11/2009,FID SEL CONS STAPLES,CONTRIBUTION,"193.50","4.522"
03/11/2009,FID DIVERSIFD INTL K,CONTRIBUTION,"193.50","11.108"
02/11/2009,FID VALUE K,CONTRIBUTION,"193.50","5.372"
02/11/2009,FID SEL WIRELESS,CONTRIBUTION,"193.50","43.484"
02/11/2009,FID SEL MEDICAL DEL,CONTRIBUTION,"193.50","6.168"
02/11/2009,FID SEL CONS STAPLES,CONTRIBUTION,"193.50","4.132"
02/11/2009,FID DIVERSIFD INTL K,CONTRIBUTION,"193.50","9.928"
01/15/2009,FID VALUE K,CONTRIBUTION,"2,613.49","70.236"
01/15/2009,FID SEL WIRELESS,CONTRIBUTION,"2,613.49","614.939"
