
Plan name:,FMR PROFIT SHARING  
Date Range,01/01/2006 - 12/31/2006,,,,


Date,Investment,Transaction Type,Amount,Shares/Unit
12/13/2006,FID VALUE,CONTRIBUTION,"417.50","5.182"
12/13/2006,FID SEL WIRELESS,CONTRIBUTION,"417.50","59.900"
12/13/2006,FID SEL MEDICAL DEL,CONTRIBUTION,"417.50","8.824"
12/13/2006,FID SEL CONS STAPLES,CONTRIBUTION,"417.50","7.336"
12/13/2006,FID DIVERSIFD INTL,CONTRIBUTION,"417.50","11.388"
12/08/2006,FID SEL MEDICAL DEL,Dividends and Interest,"346.69","7.292"
12/08/2006,FID SEL CONS STAPLES,Dividends and Interest,"295.99","5.223"
12/08/2006,FID DIVERSIFD INTL,Dividends and Interest,"448.29","12.329"
12/06/2006,FID VALUE,CONTRIBUTION,"163.54","2.024"
12/06/2006,FID SEL WIRELESS,CONTRIBUTION,"163.54","23.362"
12/06/2006,FID SEL MEDICAL DEL,CONTRIBUTION,"163.54","3.220"
12/06/2006,FID SEL CONS STAPLES,CONTRIBUTION,"163.54","2.746"
12/06/2006,FID DIVERSIFD INTL,CONTRIBUTION,"163.54","4.172"
12/01/2006,FID VALUE,Dividends and Interest,"435.72","5.472"
11/08/2006,FID VALUE,CONTRIBUTION,"163.54","1.924"
11/08/2006,FID SEL WIRELESS,CONTRIBUTION,"163.54","24.014"
11/08/2006,FID SEL MEDICAL DEL,CONTRIBUTION,"163.54","3.302"
11/08/2006,FID SEL CONS STAPLES,CONTRIBUTION,"163.54","2.810"
11/08/2006,FID DIVERSIFD INTL,CONTRIBUTION,"163.54","4.300"
10/11/2006,FID VALUE,CONTRIBUTION,"163.54","1.990"
10/11/2006,FID SEL WIRELESS,CONTRIBUTION,"163.54","24.300"
10/11/2006,FID SEL MEDICAL DEL,CONTRIBUTION,"163.54","3.226"
10/11/2006,FID SEL CONS STAPLES,CONTRIBUTION,"163.54","2.872"
10/11/2006,FID DIVERSIFD INTL,CONTRIBUTION,"163.54","4.496"
09/06/2006,FID VALUE,CONTRIBUTION,"163.54","2.054"
09/06/2006,FID SEL WIRELESS,CONTRIBUTION,"163.54","25.876"
09/06/2006,FID SEL MEDICAL DEL,CONTRIBUTION,"163.54","3.250"
09/06/2006,FID SEL CONS STAPLES,CONTRIBUTION,"163.54","2.888"
09/06/2006,FID DIVERSIFD INTL,CONTRIBUTION,"163.54","4.518"
08/09/2006,FID VALUE,CONTRIBUTION,"163.54","2.136"
08/09/2006,FID SEL WIRELESS,CONTRIBUTION,"163.54","26.722"
08/09/2006,FID SEL MEDICAL DEL,CONTRIBUTION,"163.54","3.338"
08/09/2006,FID SEL CONS STAPLES,CONTRIBUTION,"163.54","3.008"
08/09/2006,FID DIVERSIFD INTL,CONTRIBUTION,"163.54","4.606"
07/12/2006,FID VALUE,CONTRIBUTION,"163.54","2.116"
07/12/2006,FID SEL WIRELESS,CONTRIBUTION,"163.54","26.942"
07/12/2006,FID SEL MEDICAL DEL,CONTRIBUTION,"163.54","3.344"
07/12/2006,FID SEL CONS STAPLES,CONTRIBUTION,"163.54","3.024"
07/12/2006,FID DIVERSIFD INTL,CONTRIBUTION,"163.54","4.702"
06/07/2006,FID VALUE,CONTRIBUTION,"160.34","2.056"
06/07/2006,FID SEL WIRELESS,CONTRIBUTION,"160.34","24.976"
06/07/2006,FID SEL MEDICAL DEL,CONTRIBUTION,"160.32","3.312"
06/07/2006,FID SEL CONS STAPLES,CONTRIBUTION,"160.34","3.056"
06/07/2006,FID DIVERSIFD INTL,CONTRIBUTION,"160.32","4.658"
05/10/2006,FID VALUE,CONTRIBUTION,"160.34","1.930"
05/10/2006,FID SEL WIRELESS,CONTRIBUTION,"160.34","22.808"
05/10/2006,FID SEL MEDICAL DEL,CONTRIBUTION,"160.32","3.324"
05/10/2006,FID SEL CONS STAPLES,CONTRIBUTION,"160.34","2.948"
05/10/2006,FID DIVERSIFD INTL,CONTRIBUTION,"160.32","4.150"
04/12/2006,FID VALUE,CONTRIBUTION,"160.34","2.002"
04/12/2006,FID SEL WIRELESS,CONTRIBUTION,"160.34","22.938"
04/12/2006,FID SEL MEDICAL DEL,CONTRIBUTION,"160.32","3.140"
04/12/2006,FID SEL CONS STAPLES,CONTRIBUTION,"160.34","3.078"
04/12/2006,FID DIVERSIFD INTL,CONTRIBUTION,"160.32","4.490"
04/07/2006,FID SEL WIRELESS,Dividends and Interest,"239.28","33.654"
04/07/2006,FID SEL MEDICAL DEL,Dividends and Interest,"102.16","1.941"
04/07/2006,FID SEL CONS STAPLES,Dividends and Interest,"42.06","0.798"
03/08/2006,FID VALUE,CONTRIBUTION,"160.34","2.034"
03/08/2006,FID SEL WIRELESS,CONTRIBUTION,"160.34","22.116"
03/08/2006,FID SEL MEDICAL DEL,CONTRIBUTION,"160.32","2.916"
03/08/2006,FID SEL CONS STAPLES,CONTRIBUTION,"160.34","3.074"
03/08/2006,FID DIVERSIFD INTL,CONTRIBUTION,"160.32","4.754"
02/08/2006,FID VALUE,CONTRIBUTION,"160.34","2.040"
02/08/2006,FID SEL WIRELESS,CONTRIBUTION,"160.34","22.208"
02/08/2006,FID SEL MEDICAL DEL,CONTRIBUTION,"160.32","2.988"
02/08/2006,FID SEL CONS STAPLES,CONTRIBUTION,"160.34","3.110"
02/08/2006,FID DIVERSIFD INTL,CONTRIBUTION,"160.32","4.712"
01/12/2006,FID VALUE,CONTRIBUTION,"1,708.00","21.681"
01/12/2006,FID SEL WIRELESS,CONTRIBUTION,"1,708.00","239.888"
01/12/2006,FID SEL MEDICAL DEL,CONTRIBUTION,"1,708.00","30.903"
01/12/2006,FID SEL CONS STAPLES,CONTRIBUTION,"1,708.00","33.217"
01/12/2006,FID DIVERSIFD INTL,CONTRIBUTION,"1,708.00","50.147"
01/11/2006,FID VALUE,CONTRIBUTION,"160.34","2.024"
01/11/2006,FID SEL WIRELESS,CONTRIBUTION,"160.34","22.300"
01/11/2006,FID SEL MEDICAL DEL,CONTRIBUTION,"160.32","2.912"
01/11/2006,FID SEL CONS STAPLES,CONTRIBUTION,"160.34","3.110"
01/11/2006,FID DIVERSIFD INTL,CONTRIBUTION,"160.32","4.692"
