


Brokerage

Run Date,Action,Symbol,Security Description,Security Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Settlement Date
 12/31/2021, REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash), SPAXX, FIDELITY GOVERNMENT MONEY MARKET,Cash,0.01,1,,,,-0.01,
 12/31/2021, DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash), SPAXX, FIDELITY GOVERNMENT MONEY MARKET,Cash,,,,,,0.01,
 12/31/2021, SHORT-TERM CAP GAIN ARK ETF TR GENOMIC REV ETF (ARKG) (Cash), ARKG, ARK ETF TR GENOMIC REV ETF,Cash,,,,,,26.77,
 12/23/2021, DIVIDEND RECEIVED NVIDIA CORPORATION COM (NVDA) (Cash), NVDA, NVIDIA CORPORATION COM,Cash,,,,,,0.2,
 12/09/2021, DIVIDEND RECEIVED MICROSOFT CORP (MSFT) (Cash), MSFT, MICROSOFT CORP,Cash,,,,,,1.86,
 12/01/2021, DIVIDEND RECEIVED AMERICAN WATER WORKS COMPANY INC COM US (AWK) (Cash), AWK, AMERICAN WATER WORKS COMPANY INC COM US,Cash,,,,,,6.03,
 11/30/2021, REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash), SPAXX, FIDELITY GOVERNMENT MONEY MARKET,Cash,0.03,1,,,,-0.03,
 11/30/2021, DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash), SPAXX, FIDELITY GOVERNMENT MONEY MARKET,Cash,,,,,,0.03,
 11/30/2021, YOU BOUGHT NVIDIA CORPORATION COM (NVDA) (Cash), NVDA, NVIDIA CORPORATION COM,Cash,5,321.91,,,,-1609.57,12/02/2021
 11/30/2021, YOU BOUGHT ARK ETF TR GENOMIC REV ETF (ARKG) (Cash), ARKG, ARK ETF TR GENOMIC REV ETF,Cash,10,62.72,,,,-627.2,12/02/2021
 11/26/2021, YOU BOUGHT GLOBAL X FDS CANNABIS ETF (POTX) (Cash), POTX, GLOBAL X FDS CANNABIS ETF,Cash,40,7.42,,,,-296.72,11/30/2021
 11/02/2021, YOU BOUGHT 3 D SYSTEMS INC COM USD0.001 (DDD) (Cash), DDD, 3 D SYSTEMS INC COM USD0.001,Cash,30,31.37,,,,-941.1,11/04/2021
 11/02/2021, YOU SOLD SELECT SECTOR SPDR TRUST TECHNOLOGY SEL (XLK) (Cash), XLK, SELECT SECTOR SPDR TRUST TECHNOLOGY SEL,Cash,-5,162.7,,0.01,,813.5,11/04/2021
 11/02/2021, YOU SOLD INVESCO EXCH TRADED FD TR II SOLAR ETF (TAN) (Cash), TAN, INVESCO EXCH TRADED FD TR II SOLAR ETF,Cash,-1,97.72,,0.01,,97.71,11/04/2021
 11/02/2021, YOU SOLD INVESCO EXCH TRADED FD TR II SOLAR ETF (TAN) (Cash), TAN, INVESCO EXCH TRADED FD TR II SOLAR ETF,Cash,-9,97.7,,0.01,,879.29,11/04/2021
 10/29/2021, REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash), SPAXX, FIDELITY GOVERNMENT MONEY MARKET,Cash,0.03,1,,,,-0.03,
 10/29/2021, DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash), SPAXX, FIDELITY GOVERNMENT MONEY MARKET,Cash,,,,,,0.03,
 10/29/2021, YOU BOUGHT SPDR SER TR S&P BIOTECH (XBI) (Cash), XBI, SPDR SER TR S&P BIOTECH,Cash,10,125.37,,,,-1253.7,11/02/2021
 10/29/2021, YOU BOUGHT PAYPAL HLDGS INC COM (PYPL) (Cash), PYPL, PAYPAL HLDGS INC COM,Cash,10,235.85,,,,-2358.49,11/02/2021
 10/29/2021, YOU SOLD OPENDOOR TECHNOLOGIES INC COM (OPEN) (Cash), OPEN, OPENDOOR TECHNOLOGIES INC COM,Cash,-20,23.46,,0.01,,469.23,11/02/2021
 10/29/2021, YOU SOLD ISHARES TR ISHARES BIOTECH (IBB) (Cash), IBB, ISHARES TR ISHARES BIOTECH,Cash,-17,159.59,,0.02,,2713.03,11/02/2021
 10/29/2021, YOU SOLD INVESCO EXCHANGE TRADED FD TR WILDERHIL (PBW) (Cash), PBW, INVESCO EXCHANGE TRADED FD TR WILDERHIL,Cash,-4,88.4,,0.01,,353.57,11/02/2021
 10/29/2021, YOU BOUGHT GLOBAL X LITHIUM AND BATTERY TECH ETF (LIT) (Cash), LIT, GLOBAL X LITHIUM AND BATTERY TECH ETF,Cash,20,91.14,,,,-1822.8,11/02/2021
 10/29/2021, YOU SOLD AMPLIFY ETF TR SEYMOUR CANNBS (CNBS) (Cash), CNBS, AMPLIFY ETF TR SEYMOUR CANNBS,Cash,-6,17.34,,0.01,,104.03,11/02/2021
 10/27/2021, YOU SOLD ISHARES TR GL CLEAN ENE ETF (ICLN) (Cash), ICLN, ISHARES TR GL CLEAN ENE ETF,Cash,-10,24.69,,0.01,,246.93,10/29/2021
 10/27/2021, YOU SOLD DELTA AIR LINES INC (DAL) (Cash), DAL, DELTA AIR LINES INC,Cash,-10,39.34,,0.01,,393.43,10/29/2021
 10/27/2021, YOU SOLD APPLE INC (AAPL) (Cash), AAPL, APPLE INC,Cash,-10,149.28,,0.01,,1492.74,10/29/2021
 10/27/2021, YOU BOUGHT ARK ETF TR GENOMIC REV ETF (ARKG) (Cash), ARKG, ARK ETF TR GENOMIC REV ETF,Cash,30,74.64,,,,-2239.2,10/29/2021
 10/27/2021, YOU BOUGHT ARK ETF TR GENOMIC REV ETF (ARKG) (Cash), ARKG, ARK ETF TR GENOMIC REV ETF,Cash,30,74.65,,,,-2239.5,10/29/2021
 10/27/2021, Electronic Funds Transfer Received (Cash),  , No Description,Cash,,,,,,3000,
 10/05/2021, YOU BOUGHT GLOBAL X FDS CYBRSCURTY ETF (BUG) (Cash), BUG, GLOBAL X FDS CYBRSCURTY ETF,Cash,30,30.38,,,,-911.25,10/07/2021
 10/05/2021, YOU BOUGHT BEYOND MEAT INC COM (BYND) (Cash), BYND, BEYOND MEAT INC COM,Cash,5,101.65,,,,-508.25,10/07/2021
